Page,Title,Price,Location,Address,Description,Bedrooms,Bathrooms,Parking,Floor_Size_m2,URL,Region
1,4 Bedroom House,23975000,Bilene Central,"Rua De Marginal, Bilene Central, Bilene",A rare opportunity to own a fully serviced beachfront villa in the prestigious San Martinho,4.0,1.0,4.0,180 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-117037213,South
1,4 Bedroom House,8000000,Bilene Central,"P8R2+52 Praia Do Bilene, Bilene Central, Bilene","Are you searching for your dream property for sale in Bilene, Mozambique?_x000D_
_x000D_
Look no",4.0,3.0,4.0,225 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-115590920,South
1,3 Bedroom House,5950000,Bilene Central,"P8X6+WR Praia Do Bilene, Bilene Central, Bilene","Move 2 Moz is incredibly proud to market this amazing Property for Sale Bilene, southern",3.0,3.0,1.0,145 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-bilene-central-114543680,South
1,4 Bedroom House,26000000,Bilene Central,"123 Beach road, Bilene Central, Bilene",A rare opportunity to own a fully serviced beachfront villa in the prestigious San Martinho,4.0,3.0,4.0,220 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-116755982,South
1,5 Bedroom House,7600000,Bilene Central,"Bilene, Bilene Central, Bilene",Discover this unique 5-bedroom beachside home perfectly positioned just 2 minutes’ walk,5.0,2.0,4.0,3 500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-bilene-central-116714250,South
1,2 Bedroom House,9750000,Bilene Central,"Praia de Bilene, Bilene Central, Bilene","Step into 106.6 m² of modern comfort, where design meets functionality and the ocean is",2.0,3.0,4.0,2 000 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-bilene-central-116589727,South
2,3 Bedroom House,10000000,Bilene Central,"Bilene, Bilene Central, Bilene","PROPERTY DESCRIPTION
 A truly magnificent master-built open-plan styled house in an",3.0,1.0,4.0,1 200 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-bilene-central-115332501,South
2,2 Bedroom House,1850000,Bilene Central,"Nhabanga, Bilene Central, Bilene","Unveiling 2 bedroom house, a surprising local gem in Nhabanga that redefines simplicity",2.0,3.0,4.0,2 400 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-bilene-central-113806568,South
2,4 Bedroom House,6750000,Bilene Central,"Praia do Bilene, Bilene Central, Bilene","This beautiful house in the neighborhood of mahungo in bilene, can be your home. surrounded",4.0,3.0,4.0,1 200 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-111662767,South
2,3 Bedroom House,11000000,Bilene Central,"bilene, Bilene Central, Bilene",This property consists of 1500 m2 of land and a house with the following,3.0,2.0,4.0,1 500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-bilene-central-111565320,South
2,4 Bedroom House,10000000,Bilene Central,"1 Bilene, Gaza, Mozambique, Bilene Central, Bilene","Set high on the hills of beautiful Bilene, this T4 house offers not just space, but vision.",4.0,2.0,2.0,200 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-116124561,South
2,3 Bedroom House,25000000,Bilene Central,"Bilene, Gaza, Mozambique, Bilene Central, Bilene","Welcome to your dream home in Bilene, where coastal charm meets modern luxury. This fully",3.0,3.0,2.0,200 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-bilene-central-116123590,South
2,1 Bedroom House,1600000,Bilene Central,"Bilene, Hatlane, Bilene Central, Bilene",Discover the perfect opportunity to invest in a prime piece of real estate with this 2250m²,1.0,1.0,4.0,2 250 m²,https://www.property24.co.mz/1-bedroom-house-for-sale-in-bilene-central-115507183,South
